                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.7440  27.6075  0.16000E+04  0.17193E+04  0.16185E-02  0.16851E+04  0.17193E+04  0.16185E-02  0.16851E+04
    5.0140   1.7440  28.4840  0.13253E+04  0.14125E+04  0.62650E-03  0.13852E+04  0.14125E+04  0.62650E-03  0.13852E+04
    5.0140   1.7440  29.3365  0.10994E+04  0.11629E+04  0.24156E-03  0.11410E+04  0.11629E+04  0.24156E-03  0.11410E+04
    5.0140   1.7440  30.1670  0.91313E+03  0.95904E+03  0.92598E-04  0.94135E+03  0.95904E+03  0.92598E-04  0.94135E+03
    5.0140   1.7440  30.9772  0.75908E+03  0.79198E+03  0.35240E-04  0.77761E+03  0.79198E+03  0.35240E-04  0.77761E+03
    5.0140   1.7440  31.7689  0.63148E+03  0.65474E+03  0.13292E-04  0.64302E+03  0.65474E+03  0.13292E-04  0.64302E+03
    5.0140   1.7440  32.5432  0.52578E+03  0.54188E+03  0.49653E-05  0.53224E+03  0.54188E+03  0.49653E-05  0.53224E+03
    5.0140   1.7440  33.3015  0.43795E+03  0.44878E+03  0.18346E-05  0.44079E+03  0.44878E+03  0.18346E-05  0.44079E+03
    5.0140   1.7440  34.0447  0.36481E+03  0.37178E+03  0.67005E-06  0.36510E+03  0.37178E+03  0.67005E-06  0.36510E+03
    5.0140   1.7440  34.7740  0.30390E+03  0.30805E+03  0.24166E-06  0.30243E+03  0.30805E+03  0.24166E-06  0.30243E+03
    5.0140   1.7440  35.4902  0.25295E+03  0.25509E+03  0.86019E-07  0.25031E+03  0.25509E+03  0.86019E-07  0.25031E+03
    5.0140   1.7440  36.1940  0.21031E+03  0.21106E+03  0.30206E-07  0.20696E+03  0.21106E+03  0.30206E-07  0.20696E+03
    5.0140   1.6440  20.2099  0.73908E+04  0.87964E+04  0.38918E+01  0.84994E+04  0.87964E+04  0.38918E+01  0.84994E+04
    5.0140   1.6440  21.4762  0.57553E+04  0.67472E+04  0.13541E+01  0.65360E+04  0.67472E+04  0.13541E+01  0.65360E+04
    5.0140   1.6440  22.6751  0.45539E+04  0.52645E+04  0.48805E+00  0.51113E+04  0.52645E+04  0.48805E+00  0.51113E+04
    5.0140   1.6440  23.8167  0.36500E+04  0.41655E+04  0.18049E+00  0.40517E+04  0.41655E+04  0.18049E+00  0.40517E+04
    5.0140   1.6440  24.9089  0.29551E+04  0.33322E+04  0.67979E-01  0.32463E+04  0.33322E+04  0.67979E-01  0.32463E+04
    5.0140   1.6440  25.9580  0.24109E+04  0.26881E+04  0.25923E-01  0.26223E+04  0.26881E+04  0.25923E-01  0.26223E+04
    5.0140   1.6440  26.9691  0.19780E+04  0.21823E+04  0.99613E-02  0.21314E+04  0.21823E+04  0.99613E-02  0.21314E+04
    5.0140   1.6440  27.9463  0.16295E+04  0.17804E+04  0.38427E-02  0.17405E+04  0.17804E+04  0.38427E-02  0.17405E+04
    5.0140   1.6440  28.8930  0.13465E+04  0.14579E+04  0.14836E-02  0.14264E+04  0.14579E+04  0.14836E-02  0.14264E+04
    5.0140   1.6440  29.8121  0.11151E+04  0.11973E+04  0.57177E-03  0.11722E+04  0.11973E+04  0.57177E-03  0.11722E+04
    5.0140   1.6440  30.7063  0.92473E+03  0.98522E+03  0.21943E-03  0.96505E+03  0.98522E+03  0.21943E-03  0.96505E+03
    5.0140   1.6440  31.5775  0.76777E+03  0.81210E+03  0.83724E-04  0.79582E+03  0.81210E+03  0.83724E-04  0.79582E+03
