                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.6440  20.2099  0.61796E+02  0.74759E+02  0.13025E+00  0.70325E+02  0.74759E+02  0.13025E+00  0.70325E+02
    5.0140   1.6440  21.4762  0.48648E+02  0.57781E+02  0.71375E-01  0.54711E+02  0.57781E+02  0.71375E-01  0.54711E+02
    5.0140   1.6440  22.6751  0.38899E+02  0.45469E+02  0.40870E-01  0.43279E+02  0.45469E+02  0.40870E-01  0.43279E+02
    5.0140   1.6440  23.8167  0.31487E+02  0.36282E+02  0.24087E-01  0.34684E+02  0.36282E+02  0.24087E-01  0.34684E+02
    5.0140   1.6440  24.9089  0.25736E+02  0.29274E+02  0.14585E-01  0.28087E+02  0.29274E+02  0.14585E-01  0.28087E+02
    5.0140   1.6440  25.9580  0.21197E+02  0.23832E+02  0.90208E-02  0.22937E+02  0.23832E+02  0.90208E-02  0.22937E+02
    5.0140   1.6440  26.9691  0.17564E+02  0.19539E+02  0.56981E-02  0.18855E+02  0.19539E+02  0.56981E-02  0.18855E+02
    5.0140   1.6440  27.9463  0.14625E+02  0.16113E+02  0.36628E-02  0.15584E+02  0.16113E+02  0.36628E-02  0.15584E+02
    5.0140   1.6440  28.8930  0.12229E+02  0.13354E+02  0.23926E-02  0.12940E+02  0.13354E+02  0.23926E-02  0.12940E+02
    5.0140   1.6440  29.8121  0.10265E+02  0.11115E+02  0.15821E-02  0.10790E+02  0.11115E+02  0.15821E-02  0.10790E+02
    5.0140   1.6440  30.7063  0.86560E+01  0.92944E+01  0.10559E-02  0.90368E+01  0.92944E+01  0.10559E-02  0.90368E+01
    5.0140   1.6440  31.5775  0.73284E+01  0.77990E+01  0.71112E-03  0.75933E+01  0.77990E+01  0.71112E-03  0.75933E+01
    5.0140   1.6440  32.4277  0.61587E+01  0.65131E+01  0.48342E-03  0.63479E+01  0.65131E+01  0.48342E-03  0.63479E+01
    5.0140   1.6440  33.2584  0.51812E+01  0.54481E+01  0.33235E-03  0.53151E+01  0.54481E+01  0.33235E-03  0.53151E+01
    5.0140   1.6440  34.0712  0.43767E+01  0.45745E+01  0.23110E-03  0.44667E+01  0.45745E+01  0.23110E-03  0.44667E+01
    5.0140   1.6440  34.8673  0.37118E+01  0.38535E+01  0.16229E-03  0.37658E+01  0.38535E+01  0.16229E-03  0.37658E+01
    5.0140   1.6440  35.6478  0.31426E+01  0.32407E+01  0.11495E-03  0.31690E+01  0.32407E+01  0.11495E-03  0.31690E+01
    5.0140   1.6440  36.4138  0.26332E+01  0.27056E+01  0.81770E-04  0.26468E+01  0.27056E+01  0.81770E-04  0.26468E+01
    5.0140   1.6440  37.1661  0.22188E+01  0.22699E+01  0.58203E-04  0.22214E+01  0.22699E+01  0.58203E-04  0.22214E+01
    5.0140   1.6440  37.9057  0.18788E+01  0.19116E+01  0.41708E-04  0.18715E+01  0.19116E+01  0.41708E-04  0.18715E+01
    5.0140   1.5540  21.0722  0.53291E+02  0.65172E+02  0.12615E+00  0.61012E+02  0.65172E+02  0.12615E+00  0.61012E+02
    5.0140   1.5540  22.3939  0.41962E+02  0.50348E+02  0.68948E-01  0.47466E+02  0.50348E+02  0.68948E-01  0.47466E+02
    5.0140   1.5540  23.6453  0.33562E+02  0.39598E+02  0.39455E-01  0.37548E+02  0.39598E+02  0.39455E-01  0.37548E+02
    5.0140   1.5540  24.8373  0.27172E+02  0.31593E+02  0.23205E-01  0.30094E+02  0.31593E+02  0.23205E-01  0.30094E+02
    5.0140   1.5540  25.9779  0.22214E+02  0.25487E+02  0.14038E-01  0.24371E+02  0.25487E+02  0.14038E-01  0.24371E+02
    5.0140   1.5540  27.0737  0.18300E+02  0.20740E+02  0.86496E-02  0.19898E+02  0.20740E+02  0.86496E-02  0.19898E+02
    5.0140   1.5540  28.1300  0.15167E+02  0.17005E+02  0.54619E-02  0.16361E+02  0.17005E+02  0.54619E-02  0.16361E+02
    5.0140   1.5540  29.1510  0.12631E+02  0.14020E+02  0.34999E-02  0.13522E+02  0.14020E+02  0.34999E-02  0.13522E+02
    5.0140   1.5540  30.1404  0.10560E+02  0.11614E+02  0.22848E-02  0.11225E+02  0.11614E+02  0.22848E-02  0.11225E+02
    5.0140   1.5540  31.1012  0.88599E+01  0.96602E+01  0.15095E-02  0.93548E+01  0.96602E+01  0.15095E-02  0.93548E+01
    5.0140   1.5540  32.0360  0.74604E+01  0.80671E+01  0.10077E-02  0.78249E+01  0.80671E+01  0.10077E-02  0.78249E+01
    5.0140   1.5540  32.9470  0.63124E+01  0.67658E+01  0.67841E-03  0.65728E+01  0.67658E+01  0.67841E-03  0.65728E+01
    5.0140   1.5540  33.8362  0.53280E+01  0.56662E+01  0.46081E-03  0.55116E+01  0.56662E+01  0.46081E-03  0.55116E+01
    5.0140   1.5540  34.7053  0.44733E+01  0.47314E+01  0.31621E-03  0.46066E+01  0.47314E+01  0.31621E-03  0.46066E+01
    5.0140   1.5540  35.5557  0.37718E+01  0.39655E+01  0.21939E-03  0.38647E+01  0.39655E+01  0.21939E-03  0.38647E+01
    5.0140   1.5540  36.3889  0.31914E+01  0.33340E+01  0.15383E-03  0.32521E+01  0.33340E+01  0.15383E-03  0.32521E+01
    5.0140   1.5540  37.2059  0.27081E+01  0.28080E+01  0.10891E-03  0.27413E+01  0.28080E+01  0.10891E-03  0.27413E+01
    5.0140   1.5540  38.0078  0.22687E+01  0.23429E+01  0.77765E-04  0.22883E+01  0.23429E+01  0.77765E-04  0.22883E+01
    5.0140   1.5540  38.7957  0.19063E+01  0.19602E+01  0.55521E-04  0.19154E+01  0.19602E+01  0.55521E-04  0.19154E+01
    5.0140   1.5540  39.5703  0.16086E+01  0.16461E+01  0.39782E-04  0.16090E+01  0.16461E+01  0.39782E-04  0.16090E+01
    5.0140   1.4640  22.0020  0.45885E+02  0.56809E+02  0.12286E+00  0.52877E+02  0.56809E+02  0.12286E+00  0.52877E+02
    5.0140   1.4640  23.3836  0.36142E+02  0.43862E+02  0.67124E-01  0.41141E+02  0.43862E+02  0.67124E-01  0.41141E+02
    5.0140   1.4640  24.6920  0.28915E+02  0.34491E+02  0.38299E-01  0.32546E+02  0.34491E+02  0.38299E-01  0.32546E+02
